Country;Abbreviation;Year;GDP
Afghanistan;AFG;2016;64297426944
Albania;ALB;2016;31481821184
Algeria;DZA;2016;5,74696E+11
Angola;AGO;2016;1,78334E+11
Argentina;ARG;2016;8,28373E+11
Armenia;ARM;2016;29426933760
Australia;AUS;2016;1,17648E+12
Austria;AUT;2016;3,64218E+11
Azerbaijan;AZE;2016;1,57812E+11
Bahrain;BHR;2016;59105439744
Bangladesh;BGD;2016;5,91216E+11
Barbados;BRB;2016;3492872960
Belarus;BLR;2016;1,68716E+11
Belgium;BEL;2016;4,39359E+11
Benin;BEN;2016;23337750528
Bolivia;BOL;2016;69712117760
Bosnia and Herzegovina;BIH;2016;38586310656
Botswana;BWA;2016;33339518976
Brazil;BRA;2016;2,88904E+12
Bulgaria;BGR;2016;1,23885E+11
Burkina Faso;BFA;2016;27615414272
Burundi;BDI;2016;7129464832
Cambodia;KHM;2016;51749834752
Cameroon;CMR;2016;70686400512
Canada;CAN;2016;1,58615E+12
Cape Verde;CPV;2016;3549154048
Central African Republic;CAF;2016;3243622912
Chad;TCD;2016;31254114304
Chile;CHL;2016;3,92579E+11
China;CHN;2016;1,72555E+13
Colombia;COL;2016;6,27381E+11
Comoros;COM;2016;1353090048
Congo;COG;2016;29575751680
Costa Rica;CRI;2016;68781793280
Cote d'Ivoire;CIV;2016;89471442944
Croatia;HRV;2016;80230187008
Cuba;CUB;2016;89440002048
Cyprus;CYP;2016;25590757376
Czechia;CZE;2016;3,03851E+11
Czechoslovakia;OWID_CZS;2016;4,42005E+11
Democratic Republic of Congo;COD;2016;74568654848
Denmark;DNK;2016;2,56822E+11
Djibouti;DJI;2016;2595207936
Dominica;DMA;2016;706700032
Dominican Republic;DOM;2016;1,47459E+11
East Asia;;2016;2,52115E+13
Eastern Europe;;2016;7,89607E+12
Ecuador;ECU;2016;1,69282E+11
Egypt;EGY;2016;1,10451E+12
El Salvador;SLV;2016;51736932352
Equatorial Guinea;GNQ;2016;25287602176
Estonia;EST;2016;31962619904
Eswatini;SWZ;2016;8425262080
Ethiopia;ETH;2016;1,64904E+11
Finland;FIN;2016;2,0464E+11
Former Sudan;;2016;1,43475E+11
France;FRA;2016;2,47939E+12
Gabon;GAB;2016;36204781568
Gambia;GMB;2016;3593880064
Georgia;GEO;2016;53661818880
Germany;DEU;2016;3,73542E+12
Ghana;GHA;2016;1,03444E+11
Greece;GRC;2016;2,41654E+11
Guatemala;GTM;2016;1,20159E+11
Guinea;GIN;2016;15905507328
Guinea-Bissau;GNB;2016;2506111488
Haiti;HTI;2016;18119806976
Honduras;HND;2016;42061463552
Hong Kong;HKG;2016;3,50066E+11
Hungary;HUN;2016;2,28414E+11
Iceland;ISL;2016;14111050752
India;IND;2016;7,76745E+12
Indonesia;IDN;2016;2,78316E+12
Iran;IRN;2016;1,34249E+12
Iraq;IRQ;2016;5,29717E+11
Ireland;IRL;2016;2,68695E+11
Israel;ISR;2016;2,60228E+11
Italy;ITA;2016;2,02696E+12
Jamaica;JAM;2016;18942029824
Japan;JPN;2016;4,73222E+12
Jordan;JOR;2016;1,00766E+11
Kazakhstan;KAZ;2016;4,27912E+11
Kenya;KEN;2016;1,55624E+11
Kuwait;KWT;2016;2,87236E+11
Kyrgyzstan;KGZ;2016;27316666368
Laos;LAO;2016;41124319232
Latin America;;2016;8,59337E+12
Latvia;LVA;2016;43297222656
