,Country,farms_number,used_agricultural_area_ha,standard_output_EUR,subsistence_semisubsistence_farms,total_labour_persons,total_labour_AWU,nonfamily_labour_persons,nonfamily_labour_AWU,managers_basic_training,managers_only_practical,managers_full_training,managers_training_NA,farms_SO_zero,farms_SO_less2000,farms_SO_2000-3999,farms_SO_4000-7999,farms_SO_8000-14999,farms_SO_15000-24999,farms_SO_25000-49999,farms_SO_50000-99999,farms_SO_100000-249999,farms_SO_250000-499999,farms_SO_500000_orover,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,farms_number_normalized,used_agricultural_area_ha_normalized
0,Belgium,36890,1354250,8037986420.0,,70910,55350,19800.0,14810.0,9940,19100,7850,,30.0,310,580,1380,2410,2670,4310,5130,9010,7170,3880,Brussels,50.833333333333336,4.333333,BE,10.210347186891457,48.30874609395231
1,Bulgaria,202720,4468500,3842891030.0,0.0,439740,255520,64490.0,59100.0,5360,182310,13350,260.0,760.0,105730,35210,22440,13590,8450,6780,4040,2740,1480,1510,Sofia,42.68333333333333,23.316667,BG,58.69780062338087,160.3198786895246
2,Czechia,26530,3455410,,4120.0,130290,103270,81840.0,71440.0,4910,11350,10270,,80.0,1150,2840,4350,4320,3050,3200,2400,2230,980,1930,,,,,7.181160564434541,123.88177695676444
3,Denmark,35050,2614600,10062442040.0,0.0,73320,49480,25780.0,22840.0,16340,16340,2370,,150.0,600,790,2480,4920,4740,5510,4260,3910,2170,5510,Copenhagen,55.66666666666666,12.583333,DK,9.672344929621117,93.64011992933146
4,Germany,276120,16715320,49249020560.0,0.0,653760,502610,178640.0,148330.0,133520,95600,47000,,250.0,460,6790,21510,33650,29560,37200,40100,53820,32350,20430,Berlin,52.516666666666666,13.4,DE,80.15941240796946,600.8048040789783
5,Estonia,16700,995100,801547060.0,4900.0,38380,19880,13450.0,11150.0,1870,10060,4770,,1180.0,5640,2270,1930,1510,1030,1000,800,740,300,280,Tallinn,59.43333333333333,24.716667,EE,4.306941983473974,35.39109392354217
6,Ireland,137560,4883650,6324900700.0,,265180,160740,18530.0,10000.0,33790,69130,34650,,270.0,11950,11420,19770,24760,20760,20390,11710,12320,3340,870,Dublin,53.31666666666667,-6.233333,IE,39.64550329526382,175.25169909477523
7,Greece,684950,4553830,7574803910.0,109600.0,1198390,457150,33830.0,24390.0,42490,638350,4060,50.0,5880.0,209700,127000,121170,93970,58280,47570,15900,4450,710,330,Athens,37.98333333333333,23.733333,GR,199.6982509078788,163.38896753736282
8,Spain,945020,23229750,38365605150.0,33400.0,1866210,822370,351200.0,188590.0,186720,737450,17490,3370.0,11290.0,191150,141770,153800,131150,84760,85680,67220,51150,15980,11080,Madrid,40.4,-3.683333,ES,275.74077647760566,835.1111964734793
9,France,456520,27814160,61343138670.0,7040.0,859750,708170,403750.0,334590.0,129340,166570,159480,1130.0,2950.0,31340,23140,29060,32690,31170,51600,68000,112690,54410,19470,Paris,48.86666666666667,2.333333,FR,132.90702502295278,999.9999999999999
