Country;Abbreviation;Year;GDP
Afghanistan;AFG;2016;64297426944
Albania;ALB;2016;31481821184
Algeria;DZA;2016;574696128512
Angola;AGO;2016;178333876224
Argentina;ARG;2016;828372942848
Armenia;ARM;2016;29426933760
Australia;AUS;2016;1176481300480
Austria;AUT;2016;364218286080
Azerbaijan;AZE;2016;157812359168
Bahrain;BHR;2016;59105439744
Bangladesh;BGD;2016;591216050176
Barbados;BRB;2016;3492872960
Belarus;BLR;2016;168715976704
Belgium;BEL;2016;439359012864
Benin;BEN;2016;23337750528
Bolivia;BOL;2016;69712117760
Bosnia and Herzegovina;BIH;2016;38586310656
Botswana;BWA;2016;33339518976
Brazil;BRA;2016;2889037381632
Bulgaria;BGR;2016;123884560384
Burkina Faso;BFA;2016;27615414272
Burundi;BDI;2016;7129464832
Cambodia;KHM;2016;51749834752
Cameroon;CMR;2016;70686400512
Canada;CAN;2016;1586146836480
Cape Verde;CPV;2016;3549154048
Central African Republic;CAF;2016;3243622912
Chad;TCD;2016;31254114304
Chile;CHL;2016;392579481600
China;CHN;2016;17255473610752
Colombia;COL;2016;627381370880
Comoros;COM;2016;1353090048
Congo;COG;2016;29575751680
Costa Rica;CRI;2016;68781793280
Cote d'Ivoire;CIV;2016;89471442944
Croatia;HRV;2016;80230187008
Cuba;CUB;2016;89440002048
Cyprus;CYP;2016;25590757376
Czechia;CZE;2016;303850717184
Czechoslovakia;OWID_CZS;2016;442005028864
Democratic Republic of Congo;COD;2016;74568654848
Denmark;DNK;2016;256821805056
Djibouti;DJI;2016;2595207936
Dominica;DMA;2016;706700032
Dominican Republic;DOM;2016;147459375104
East Asia;;2016;25211514650624
Eastern Europe;;2016;7896074551296
Ecuador;ECU;2016;169282355200
Egypt;EGY;2016;1104510713856
El Salvador;SLV;2016;51736932352
Equatorial Guinea;GNQ;2016;25287602176
Estonia;EST;2016;31962619904
Eswatini;SWZ;2016;8425262080
Ethiopia;ETH;2016;164904124416
Finland;FIN;2016;204639584256
Former Sudan;;2016;143475326976
France;FRA;2016;2479389933568
Gabon;GAB;2016;36204781568
Gambia;GMB;2016;3593880064
Georgia;GEO;2016;53661818880
Germany;DEU;2016;3735419092992
Ghana;GHA;2016;103444160512
Greece;GRC;2016;241653891072
Guatemala;GTM;2016;120159256576
Guinea;GIN;2016;15905507328
Guinea-Bissau;GNB;2016;2506111488
Haiti;HTI;2016;18119806976
Honduras;HND;2016;42061463552
Hong Kong;HKG;2016;350065655808
Hungary;HUN;2016;228414177280
Iceland;ISL;2016;14111050752
India;IND;2016;7767449403392
Indonesia;IDN;2016;2783164760064
Iran;IRN;2016;1342488838144
Iraq;IRQ;2016;529717002240
Ireland;IRL;2016;268695470080
Israel;ISR;2016;260228481024
Italy;ITA;2016;2026955079680
Jamaica;JAM;2016;18942029824
Japan;JPN;2016;4732216672256
Jordan;JOR;2016;100765786112
Kazakhstan;KAZ;2016;427912429568
Kenya;KEN;2016;155624144896
Kuwait;KWT;2016;287235571712
Kyrgyzstan;KGZ;2016;27316666368
Laos;LAO;2016;41124319232
Latin America;;2016;8593372348416
Latvia;LVA;2016;43297222656
Lebanon;LBN;2016;97868324864
Lesotho;LSO;2016;5403951104
Liberia;LBR;2016;3793504000
Libya;LBY;2016;51938050048
Lithuania;LTU;2016;70911025152
Luxembourg;LUX;2016;33357813760
Madagascar;MDG;2016;33738278912
